data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,changing times,remote numbers,delay,start_taxi_time
20190806,CCA1388,ZGGG,ZBTJ,-17400,-5700,-8940,180,B738,35.8,AirChina,16R,202,B7890,,,,60
220190807,NEWCCA1388,Default,ZBTJ,-17340,-5640,-8880,240,B738,35.8,AirChina,16R,201,NEWB7890,,,60.0,120
20190806,CCA8132,ZGSD,ZBTJ,-16500,-5700,-8640,1140,B738,35.8,AirChina,16R,202,B5849,,,,1020
20190807,CYZ9101,ZBTJ,ZSNJ,1500,7800,6600,11340,B733,28.3,ChinaPost,16R,876,B2962,,,,1020
220190807,NEWCCA8132,Default,ZBTJ,-16440,-5640,-8580,1200,B738,35.8,AirChina,16R,201,NEWB5849,,,60.0,1080
20190806,CXA8144,ZSQZ,ZBTJ,-20400,-10500,-6780,1380,B738,35.8,XiamenAirlines,16R,227,B7559,,,,1260
220190807,NEWCXA8144,Default,ZBTJ,-20340,-10440,-6720,1440,B738,35.8,XiamenAirlines,16R,225,NEWB7559,,,60.0,1320
20190806,CXA8552,ZSSS,ZBTJ,-13800,-5400,-4380,1560,B738,35.8,XiamenAirlines,16R,226,B5306,,,,1440
20190806,GCR7840,ZWWW,ZBTJ,-18000,-4500,-10800,1740,A320,34.1,TianjinAirlines,16R,211,B6865,,,,1620
220190807,NEWGCR7840,Default,ZBTJ,-17940,-4440,-10740,1800,A320,34.1,TianjinAirlines,16R,213,NEWB6865,,,60.0,1680
20190807,CCA8126,ZGHZ,ZBTJ,-14700,1000,-7740,2100,B737,35.8,AirChina,16R,202,B5211,,,,1980
20190806,CSH9069,ZSPD,ZBTJ,-5100,-83100,-3660,2400,B738,35.8,ShanghaiAirlines,16R,219,B2577,,,,2280
220190807,NEWCSH9069,Default,ZBTJ,-5040,-83040,-3600,2460,B738,35.8,ShanghaiAirlines,16R,218,NEWB2577,,,60.0,2340
20190807,CTJ3805,ZBTJ,ZGGG,3300,12900,8640,18120,B734,28.9,TianjinAirCargo,16R,876,B2576,,,,2820
20190806,CXA8240,ZLXY,ZBTJ,-6900,-600,-1380,3600,B738,35.8,XiamenAirlines,16R,225,B5528,,,,3480
220190807,NEWCXA8240,Default,ZBTJ,-6840,-540,-1320,3660,B738,35.8,XiamenAirlines,16R,226,NEWB5528,,,60.0,3540
20190806,CCA8356,ZSWZ,ZBTJ,-11100,-2400,-3240,3780,B737,35.8,AirChina,16R,202,B5229,,,,3660
20190806,CCA1402,ZPPP,ZBTJ,-13200,-1500,-6180,4140,B738,35.8,AirChina,16R,201,B5621,,,,4020
220190807,NEWCCA1402,Default,ZBTJ,-13140,-1440,-6120,4200,B738,35.8,AirChina,16R,203,NEWB5621,,,60.0,4080
20190806,OKA2932,ZGHA,ZBTJ,-13500,-4200,-2700,4320,B739,34.3,OkayAirways,16R,224,B1963,,,,4200
20190806,HXA2842,ZBOW,ZBTJ,-3600,-84300,-1200,4500,CRJ9,23.2,Chinaexpressair,16R,601,B601Z,,,,4380
220190807,NEWHXA2842,Default,ZBTJ,-3540,-84240,-1140,4560,CRJ9,23.2,Chinaexpressair,16R,602,NEWB601Z,,,60.0,4440
20190806,GCR7854,ZSHC,ZBTJ,-11100,-3300,-1500,4680,E190,28.72,TianjinAirlines,16R,213,B3247,,,,4560
220190807,NEWGCR7854,Default,ZBTJ,-11040,-3240,-1440,4740,E190,28.72,TianjinAirlines,16R,211,NEWB3247,,,60.0,4620
20190806,CSC8356,ZGOW,ZBTJ,-12000,-2700,-4140,4800,A321,34.1,SichuanAirlines,16R,111,B6810,,,,4680
220190807,NEWCSC8356,Default,ZBTJ,-11940,-2640,-4080,4860,A321,34.1,SichuanAirlines,16R,113,NEWB6810,,,60.0,4740
20190806,OKA2966,ZLXN,ZBTJ,-5400,-84000,-2340,4980,B738,35.8,OkayAirways,16R,223,B1732,,,,4860
220190807,NEWOKA2966,Default,ZBTJ,-5340,-83940,-2280,5040,B738,35.8,OkayAirways,16R,222,NEWB1732,,,60.0,4920
20190806,CBG8853,ZGCD,ZBTJ,-12300,-3600,-2280,5220,E190,28.72,SPRAY,16R,110,B3166,,,,5100
220190807,NEWCBG8853,Default,ZBTJ,-12240,-3540,-2220,5280,E190,28.72,SPRAY,16R,112,NEWB3166,,,60.0,5160
